|CENTER:|CENTER:|||||CENTER:BGCOLOR(#FFF0F5):|CENTER:BGCOLOR(#FF8877):|CENTER:BGCOLOR(#F0E68C):|CENTER:BGCOLOR(#B0C4DE):|CENTER:BGCOLOR(#E0FFFF):|CENTER:BGCOLOR(#90EE90):|CENTER:BGCOLOR(#CCCCCC):|CENTER:BGCOLOR(#FFFFFF):|CENTER:BGCOLOR(#CCCCFF):|CENTER:BGCOLOR(#CCFFFF):|CENTER:BGCOLOR(#99EEFF):|CENTER:BGCOLOR(#FFFF66):||c
|~[[No.>改造艦船]]|~[[レア>改造艦船/レアリティ]]|~艦名|~[[艦型>改造艦船/艦型別]]|~艦番|~[[艦種>改造艦船/艦種別]]|[[耐久>改造艦船/耐久]]|[[火力>改造艦船/火力]]|[[装甲>改造艦船/装甲]]|[[雷装>改造艦船/雷装]]|[[回避>改造艦船/回避]]|[[対空>改造艦船/対空]]|[[搭載>改造艦船/搭載]]|[[対潜>改造艦船/対潜]]|[[速力>改造艦船/速力]]|[[索敵>改造艦船/索敵]]|[[射程>改造艦船/射程]]|[[運>改造艦船/運]]|~備考|h
|001|6|[[長門改]]|長門型|1番艦|戦艦|90|90|85|0|24|33|12|0|低速|15|長|32||
|002|6|[[陸奥改]]|長門型|2番艦|戦艦|90|90|85|0|24|33|12|0|低速|15|長|6||
|005|5|[[雪風改]]|陽炎型|8番艦|駆逐艦|32|12|14|28|67|16|0|27|高速|8|短|60||
|006|6|[[赤城改]]|赤城型|1番艦|正規空母|77|0|40|0|28|35|82|0|高速|50|―|12||
|007|5|[[加賀改]]|加賀型|1番艦|正規空母|79|0|40|0|27|30|98|0|高速|50|―|12||
|008|5|[[蒼龍改]]|蒼龍型|1番艦|正規空母|65|0|35|0|33|30|73|0|高速|46|―|12||
|009|6|[[飛龍改]]|飛龍型|1番艦|正規空母|65|0|35|0|37|30|73|0|高速|46|―|40||
|010|5|[[島風改]]|島風型|1番艦|駆逐艦|36|14|14|48|55|16|0|27|高速|9|短|12||
|011|3|[[吹雪改]]|吹雪型|1番艦|駆逐艦|30|12|13|28|45|15|0|24|高速|7|短|12||
